time,lat,lon,swh_m,swh_rms_m,swh_numval,pass_number,cycle_number,mission,source_file,window_name
2017-01-01T00:00:00Z,49.90650,-6.545167,1.04,0.11,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-01T01:00:00Z,49.90650,-6.545167,1.49,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-01T02:00:00Z,49.90650,-6.545167,1.94,0.13,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-01T03:00:00Z,49.90650,-6.545167,2.39,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-01T04:00:00Z,49.90650,-6.545167,2.84,0.11,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-01T05:00:00Z,49.90650,-6.545167,3.29,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-01T06:00:00Z,49.90650,-6.545167,3.74,0.13,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-01T07:00:00Z,49.90650,-6.545167,4.19,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-02T00:00:00Z,50.13110,-6.545167,1.04,0.11,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-02T01:00:00Z,50.13110,-6.545167,1.455,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-02T02:00:00Z,50.13110,-6.545167,1.87,0.13,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-02T03:00:00Z,50.13110,-6.545167,2.285,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-02T04:00:00Z,50.13110,-6.545167,2.70,0.11,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-02T05:00:00Z,50.13110,-6.545167,3.115,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-02T06:00:00Z,50.13110,-6.545167,3.53,0.13,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-02T07:00:00Z,50.13110,-6.545167,3.945,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-03T00:00:00Z,50.37370,-6.545167,1.03,0.11,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-03T01:00:00Z,50.37370,-6.545167,1.46,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-03T02:00:00Z,50.37370,-6.545167,1.89,0.13,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-03T03:00:00Z,50.37370,-6.545167,2.32,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-03T04:00:00Z,50.37370,-6.545167,2.75,0.11,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-03T05:00:00Z,50.37370,-6.545167,3.18,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-03T06:00:00Z,50.37370,-6.545167,3.61,0.13,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-03T07:00:00Z,50.37370,-6.545167,4.04,0.12,20,239,1,Jason-3,sanitized-scilly-sample,
2017-01-04T00:00:00Z,50.60720,-6.545167,0.98,0.11,20,70,1,Jason-3,sanitized-scilly-sample,
2017-01-04T01:00:00Z,50.60720,-6.545167,1.43,0.12,20,70,1,Jason-3,sanitized-scilly-sample,
2017-01-04T02:00:00Z,50.60720,-6.545167,1.88,0.13,20,70,1,Jason-3,sanitized-scilly-sample,
2017-01-04T03:00:00Z,50.60720,-6.545167,2.33,0.12,20,70,1,Jason-3,sanitized-scilly-sample,
2017-01-04T04:00:00Z,50.60720,-6.545167,2.78,0.11,20,70,1,Jason-3,sanitized-scilly-sample,
2017-01-04T05:00:00Z,50.60720,-6.545167,3.23,0.12,20,70,1,Jason-3,sanitized-scilly-sample,
2017-01-04T06:00:00Z,50.60720,-6.545167,3.68,0.13,20,70,1,Jason-3,sanitized-scilly-sample,
2017-01-04T07:00:00Z,50.60720,-6.545167,4.13,0.12,20,70,1,Jason-3,sanitized-scilly-sample,
